tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,0,0,0,0,0,0,0,797,12000
1,0,0,0,0,0,0,0,0,0,0,939,12000
2,0,0,0,0,0,0,0,0,0,0,839,12000
3,0,0,0,0,0,0,0,0,0,0,803,12000
4,0,0,0,0,0,0,0,0,0,0,810,12000
5,0,0,0,0,0,0,0,0,0,0,876,12000
6,0,0,0,0,0,0,0,0,0,0,696,12000
7,0,0,0,0,0,0,0,0,0,0,634,12000
8,0,0,0,0,0,0,0,0,0,0,833,12000
9,0,0,0,0,0,0,0,0,0,0,772,12000
10,0,0,0,0,0,0,0,0,0,0,698,12000
11,0,0,0,0,0,0,0,0,0,0,638,12000
12,0,0,0,0,0,0,0,0,0,0,702,0
13,0,0,0,0,0,0,0,0,0,0,722,0
14,0,0,0,0,0,0,0,0,0,0,587,0
15,0,0,0,0,0,0,0,0,0,0,814,0
16,0,0,0,0,0,0,0,0,0,0,507,0
17,0,0,0,0,0,0,0,0,0,0,663,0
18,0,0,0,0,0,0,0,0,0,0,669,0
19,0,0,0,0,0,0,0,0,0,0,516,0
20,0,0,0,0,0,0,0,0,0,0,630,0
21,0,0,0,0,0,0,0,0,0,0,781,0
22,0,0,0,0,0,0,0,0,0,0,649,0
23,0,0,0,0,0,0,0,0,0,0,568,0
24,0,0,0,0,0,0,0,0,0,0,754,0
25,0,0,0,0,0,0,0,0,0,0,619,0
26,0,0,0,896,0,0,0,0,0,0,793,2
27,0,0,0,896,0,0,0,0,0,0,643,4
28,0,0,0,0,0,0,0,0,0,0,568,4
29,0,0,0,896,0,0,0,0,0,0,545,6
30,0,0,0,0,0,0,0,0,0,0,660,6
31,0,0,0,0,0,0,0,0,0,0,543,6
32,0,0,0,0,0,0,0,0,0,0,709,6
33,0,0,0,0,0,0,0,0,0,0,595,6
34,0,0,0,0,0,0,0,0,0,0,586,6
35,0,0,0,0,0,0,0,0,0,0,685,6
36,0,0,0,896,0,0,0,0,0,0,666,2
37,0,0,0,0,0,0,0,0,0,0,701,2
38,0,0,0,0,0,0,0,0,0,0,742,2
39,0,0,0,0,0,0,0,0,0,0,625,2
40,0,0,0,0,0,0,0,0,0,0,801,2
41,0,0,0,0,0,0,0,0,0,0,743,2
42,0,0,0,0,0,0,0,0,0,0,719,2
43,0,0,0,0,0,0,0,0,0,0,814,2
44,0,0,0,0,0,0,0,0,0,0,721,2
45,0,0,0,0,0,0,0,0,0,0,796,2
46,0,0,0,0,0,0,0,0,0,0,795,2
47,0,0,0,0,0,0,0,0,0,0,730,2
48,0,0,0,0,0,0,0,0,0,0,871,0
49,0,0,0,0,0,0,0,0,0,0,763,0
50,0,0,0,0,0,0,0,0,0,0,1041,0
51,0,0,0,0,0,0,0,0,0,0,1004,0
52,0,0,0,0,0,0,0,0,0,0,907,0
53,0,0,0,0,0,0,0,0,0,0,1087,0
54,0,0,0,0,0,0,0,0,0,0,949,0
55,0,0,0,0,0,0,0,0,0,0,1044,0
56,0,0,0,0,0,0,0,0,0,0,1045,0
57,0,0,0,0,0,0,0,0,0,0,1103,0
58,0,0,0,896,0,0,0,0,0,0,1198,2
59,0,0,0,0,0,0,0,0,0,0,1238,2
60,0,0,0,0,0,0,0,0,0,0,1196,0
61,0,0,0,0,0,0,0,0,0,0,1166,0
62,0,0,0,0,0,0,0,0,0,0,1326,0
63,0,0,0,0,0,0,0,0,0,0,1365,0
64,0,0,0,0,0,0,0,0,0,0,1275,0
65,0,0,0,0,0,0,0,0,0,0,1420,0
66,0,0,0,0,0,0,0,0,0,0,1682,0
67,0,0,0,0,0,0,0,0,0,0,1316,0
68,0,0,0,0,0,0,0,0,0,0,1444,0
69,0,0,0,0,0,0,0,0,0,0,1552,0
70,0,0,0,896,0,0,0,0,0,0,1671,2
71,0,0,0,0,0,0,0,0,0,0,1687,2
